x,y,z,x_dot,y_dot,z_dot,roll,pitch,yaw,roll_dot,pitch_dot,yaw_dot,quaternion_a,quaternion_b,quaternion_c,quaternion_d,gyro_x,gyro_y,gyro_z,M1,M2,M3,M4,time
-0.040618896484375,-0.017181396484375,1.1123046875,0.00548553466796875,0.006805419921875,-0.06170654296875,0.00689697265625,0.005588531494140625,0.02203369140625,0.125732421875,-0.1275634765625,-0.02557373046875,0.00341796875,0.0028324127197265625,0.01100921630859375,1.0,0.12274169921875,0.150390625,-0.02178955078125,0.8486328125,0.1640625,-1.3662109375,-2.416015625,24.46875
-0.040557861328125,-0.017120361328125,1.111328125,0.006114959716796875,0.0060577392578125,-0.0594482421875,0.008026123046875,0.0042266845703125,0.02178955078125,-0.10650634765625,-0.201171875,-0.04901123046875,0.00399017333984375,0.0021572113037109375,0.01088714599609375,1.0,-0.0157470703125,0.2357177734375,-0.047210693359375,0.470703125,0.335205078125,0.0239410400390625,-0.1873779296875,24.46875
-0.045013427734375,-0.0084686279296875,1.1103515625,0.0013904571533203125,0.015106201171875,-0.05780029296875,0.00780487060546875,0.001964569091796875,0.0212860107421875,-0.45166015625,-0.40234375,-0.040496826171875,0.0038909912109375,0.0010232925415039062,0.0106353759765625,1.0,-0.34765625,0.3642578125,-0.0352783203125,0.5732421875,1.2236328125,0.35009765625,-2.06640625,24.484375
-0.045074462890625,-0.00830078125,1.10546875,0.0015459060668945312,0.01441192626953125,-0.08441162109375,0.0053253173828125,-0.001110076904296875,0.0208740234375,-0.9375,-0.32373046875,-0.061798095703125,0.0026683807373046875,-0.0005273818969726562,0.01043701171875,1.0,-0.765625,0.361083984375,-0.05096435546875,-0.23486328125,-0.0487060546875,-0.100341796875,-0.276611328125,24.484375
-0.045013427734375,-0.0046539306640625,1.1044921875,0.0015439987182617188,0.0178985595703125,-0.0867919921875,-0.00139617919921875,-0.00485992431640625,0.02032470703125,-1.4619140625,-0.1510009765625,-0.0245208740234375,-0.0006732940673828125,-0.002437591552734375,0.010162353515625,1.0,-1.3212890625,0.227294921875,-0.017120361328125,0.1890869140625,0.74267578125,0.248046875,-1.091796875,24.5
-0.045013427734375,-0.004474639892578125,1.103515625,0.0011205673217773438,0.0179290771484375,-0.093994140625,-0.01326751708984375,-0.007549285888671875,0.020050048828125,-2.0078125,0.093994140625,-0.004276275634765625,-0.006595611572265625,-0.003841400146484375,0.01000213623046875,1.0,-1.853515625,0.035003662109375,-0.0009760856628417969,0.388916015625,0.2127685546875,-0.290283203125,-0.927734375,24.515625
-0.04315185546875,0.0026493072509765625,1.1025390625,0.0025997161865234375,0.02679443359375,-0.10479736328125,-0.03094482421875,-0.00836944580078125,0.0198516845703125,-2.693359375,0.398681640625,-0.033050537109375,-0.0154266357421875,-0.004337310791015625,0.009857177734375,1.0,-2.51953125,-0.301025390625,-0.0217742919921875,-0.0079345703125,0.0413818359375,0.0697021484375,-0.272705078125,24.515625
-0.043121337890625,0.0029296875,1.1015625,0.0018205642700195312,0.029083251953125,-0.11859130859375,-0.054351806640625,-0.006107330322265625,0.0196075439453125,-3.369140625,0.70947265625,-0.01812744140625,-0.0271453857421875,-0.00331878662109375,0.0097198486328125,0.99951171875,-3.2109375,-0.60302734375,-0.01396942138671875,-0.036376953125,0.28466796875,0.2000732421875,-0.7978515625,24.53125
-0.03900146484375,0.0174713134765625,1.10546875,0.005992889404296875,0.04937744140625,-0.10797119140625,-0.08575439453125,-0.0004916191101074219,0.018829345703125,-4.0078125,1.083984375,-0.050079345703125,-0.0428466796875,-0.0006489753723144531,0.00939178466796875,0.9990234375,-3.85546875,-0.97900390625,-0.038787841796875,0.0518798828125,-0.2159423828125,-0.1484375,0.013916015625,24.546875
-0.0389404296875,0.0179901123046875,1.103515625,0.005706787109375,0.055908203125,-0.12396240234375,-0.1226806640625,0.00821685791015625,0.017608642578125,-4.5703125,1.4189453125,-0.0106658935546875,-0.06134033203125,0.0035610198974609375,0.00904083251953125,0.998046875,-4.453125,-1.3251953125,-0.025177001953125,-0.1163330078125,-0.482421875,0.0092620849609375,-0.08917236328125,24.546875
-0.037353515625,0.012298583984375,1.1025390625,0.00775146484375,0.0579833984375,-0.1416015625,-0.165283203125,0.02044677734375,0.015594482421875,-5.05859375,1.76171875,-0.034088134765625,-0.0826416015625,0.00954437255859375,0.00861358642578125,0.99658203125,-4.94921875,-1.6328125,-0.022857666015625,-0.207275390625,-0.60791015625,0.387939453125,0.052581787109375,24.5625
-0.037261962890625,0.01294708251953125,1.1015625,0.00887298583984375,0.0699462890625,-0.1630859375,-0.213623046875,0.035736083984375,0.012481689453125,-5.3203125,1.9755859375,-0.0894775390625,-0.106689453125,0.0171051025390625,0.00811004638671875,0.994140625,-5.30078125,-1.8935546875,-0.07183837890625,0.176513671875,-0.87255859375,0.2529296875,0.26611328125,24.578125
-0.03228759765625,0.0290069580078125,1.095703125,0.0165557861328125,0.1025390625,-0.2109375,-0.267333984375,0.053802490234375,0.007450103759765625,-5.48828125,2.228515625,-0.1363525390625,-0.13330078125,0.0261688232421875,0.007274627685546875,0.99072265625,-5.4609375,-2.08984375,-0.114501953125,0.00860595703125,-0.4658203125,0.467529296875,0.034881591796875,24.578125
