x,y,z,x_dot,y_dot,z_dot,roll,pitch,yaw,roll_dot,pitch_dot,yaw_dot,quaternion_a,quaternion_b,quaternion_c,quaternion_d,gyro_x,gyro_y,gyro_z,M1,M2,M3,M4,time
-0.003662109375,0.023590087890625,1.0703125,0.01143646240234375,-0.033782958984375,-0.00396728515625,0.038421630859375,0.0062255859375,0.005695343017578125,-0.07666015625,-0.06304931640625,0.0120849609375,0.019195556640625,0.00316619873046875,0.0027866363525390625,1.0,-0.055816650390625,0.1134033203125,0.00473785400390625,0.0,0.0,0.0,0.0,19.15625
-0.006450653076171875,0.033355712890625,1.0703125,0.0087127685546875,-0.02587890625,-0.004894256591796875,0.037322998046875,0.005031585693359375,0.005558013916015625,-0.1363525390625,-0.11102294921875,0.0269927978515625,0.018646240234375,0.002567291259765625,0.0027313232421875,1.0,-0.10736083984375,0.1046142578125,0.0289764404296875,0.0,0.0,0.0,0.0,19.15625
-0.0063629150390625,0.0330810546875,1.0703125,0.00921630859375,-0.0294647216796875,-0.0070343017578125,0.036346435546875,0.004032135009765625,0.0057220458984375,-0.173583984375,-0.1376953125,0.04937744140625,0.0181732177734375,0.00206756591796875,0.0028247833251953125,1.0,-0.1580810546875,0.1156005859375,0.055084228515625,0.0,0.0,0.0,0.0,19.171875
-0.006267547607421875,0.032745361328125,1.0693359375,0.009613037109375,-0.03277587890625,-0.01428985595703125,0.034912109375,0.0029201507568359375,0.00615692138671875,-0.2119140625,-0.1812744140625,0.08984375,0.0174560546875,0.0015134811401367188,0.0030517578125,1.0,-0.19677734375,0.1610107421875,0.07745361328125,0.0,0.0,0.0,0.0,19.1875
-0.016693115234375,0.043426513671875,1.0712890625,-0.00228118896484375,-0.0231170654296875,-0.0155792236328125,0.032379150390625,0.0006966590881347656,0.00685882568359375,-0.208740234375,-0.240966796875,0.1175537109375,0.0161895751953125,0.0004038810729980469,0.0034236907958984375,1.0,-0.2305908203125,0.2373046875,0.09808349609375,0.0,0.0,0.0,0.0,19.1875
-0.01544952392578125,0.04022216796875,1.0703125,-0.0007176399230957031,-0.02935791015625,-0.0274810791015625,0.0305328369140625,-0.001354217529296875,0.00777435302734375,-0.2001953125,-0.26025390625,0.1292724609375,0.01526641845703125,-0.0006175041198730469,0.0038967132568359375,1.0,-0.259521484375,0.2763671875,0.12359619140625,0.0,0.0,0.0,0.0,19.203125
-0.01491546630859375,0.04083251953125,1.0703125,-0.0001392364501953125,-0.0308685302734375,-0.0430908203125,0.028106689453125,-0.00402069091796875,0.0088958740234375,-0.306884765625,-0.3154296875,0.1505126953125,0.01406097412109375,-0.0019474029541015625,0.004474639892578125,1.0,-0.294677734375,0.35205078125,0.14892578125,0.0,0.0,0.0,0.0,19.21875
-0.01332855224609375,0.04351806640625,1.0693359375,0.0014486312866210938,-0.0297088623046875,-0.060455322265625,0.0250701904296875,-0.007305145263671875,0.010101318359375,-0.385498046875,-0.41357421875,0.1697998046875,0.01255035400390625,-0.003589630126953125,0.005096435546875,1.0,-0.3271484375,0.4287109375,0.17138671875,0.0,0.0,0.0,0.0,19.21875
-0.0156402587890625,0.039031982421875,1.0751953125,-0.001934051513671875,-0.03619384765625,-0.046234130859375,0.0220794677734375,-0.01165008544921875,0.01183319091796875,-0.4111328125,-0.57763671875,0.198486328125,0.01107025146484375,-0.00576019287109375,0.0059814453125,1.0,-0.370849609375,0.5263671875,0.1912841796875,0.0,0.0,0.0,0.0,19.234375
-0.015533447265625,0.042327880859375,1.07421875,-0.0026493072509765625,-0.033966064453125,-0.06719970703125,0.0178375244140625,-0.01715087890625,0.01369476318359375,-0.3984375,-0.7109375,0.20703125,0.00897979736328125,-0.008514404296875,0.006923675537109375,1.0,-0.39306640625,0.60302734375,0.2115478515625,0.0,0.0,0.0,0.0,19.234375
-0.0178985595703125,0.0440673828125,1.0732421875,-0.006488800048828125,-0.032989501953125,-0.090087890625,0.01372528076171875,-0.02325439453125,0.015716552734375,-0.373779296875,-0.677734375,0.233642578125,0.006954193115234375,-0.01157379150390625,0.0079345703125,1.0,-0.422607421875,0.69921875,0.224365234375,0.0,0.0,0.0,0.0,19.25
-0.015838623046875,0.044403076171875,1.072265625,-0.005573272705078125,-0.03338623046875,-0.1136474609375,0.00946807861328125,-0.0299224853515625,0.0177459716796875,-0.490966796875,-0.76806640625,0.250732421875,0.0048675537109375,-0.01491546630859375,0.008941650390625,1.0,-0.445556640625,0.783203125,0.2413330078125,0.0,0.0,0.0,0.0,19.265625
-0.0163421630859375,0.045440673828125,1.064453125,-0.00795745849609375,-0.032989501953125,-0.174560546875,0.004955291748046875,-0.03759765625,0.0200958251953125,-0.51123046875,-0.90380859375,0.262451171875,0.002666473388671875,-0.018768310546875,0.01009368896484375,1.0,-0.463134765625,0.88134765625,0.255615234375,0.0,0.0,0.0,0.0,19.265625
-0.015655517578125,0.042572021484375,1.0625,-0.00948333740234375,-0.036468505859375,-0.20166015625,0.0004062652587890625,-0.046112060546875,0.0225982666015625,-0.484619140625,-1.0126953125,0.27197265625,0.0004634857177734375,-0.0230560302734375,0.01129913330078125,0.99951171875,-0.485595703125,0.9599609375,0.27490234375,0.0,0.0,0.0,0.0,19.28125
-0.0176544189453125,0.043365478515625,1.060546875,-0.0145721435546875,-0.03533935546875,-0.2305908203125,-0.004657745361328125,-0.0556640625,0.025390625,-0.5390625,-1.109375,0.291259765625,-0.0019741058349609375,-0.027862548828125,0.01262664794921875,0.99951171875,-0.51708984375,1.046875,0.290283203125,0.0,0.0,0.0,0.0,19.296875
